Symbol,Description,Quantity,Cost Basis,Market Value,Unrealized P&L,Currency,Expiry,Strike,Type,Strategy,Underlying
CELU  260220C00005000,CELU 20FEB26 5 C,10,546.5105,0.1,-546.4105,USD,20FEB26,5,C,C Bought,CELU
AEVA  260320P00012500,AEVA 20MAR26 12.5 P,-1,-168.99796,-120.01,48.98796,USD,20MAR26,12.5,P,P Sold,AEVA
AEVA  260417P00012500,AEVA 17APR26 12.5 P,-4,-564.09184,-839.96,-275.86816,USD,17APR26,12.5,P,P Sold,AEVA
ALGM  260220C00040000,ALGM 20FEB26 40 C,-3,-244.89388,-919.02,-674.12612,USD,20FEB26,40,C,C Sold,ALGM
INTC  260227C00060000,INTC 27FEB26 60 C,-6,-483.86776,-69.12,414.74776,USD,27FEB26,60,C,C Sold,INTC
INTC  260417P00036000,INTC 17APR26 36 P,-2,-237.14592,-170.56,66.58592,USD,17APR26,36,P,P Sold,INTC
INTC  260417P00041000,INTC 17APR26 41 P,-1,-196.51796,-205.5,-8.98204,USD,17APR26,41,P,P Sold,INTC
INTC  260515P00035000,INTC 15MAY26 35 P,-1,-361.23311,-118.08,243.15311,USD,15MAY26,35,P,P Sold,INTC
INTC  270319P00045000,INTC 19MAR27 45 P,-1,-1108.94796,-952.16,156.78796,USD,19MAR27,45,P,P Sold,INTC
INTC  271217P00018000,INTC 17DEC27 18 P,-1,-419.348284,-116.5,302.848284,USD,17DEC27,18,P,P Sold,INTC
INTC  271217P00020000,INTC 17DEC27 20 P,-5,-2026.666,-775.0,1251.666,USD,17DEC27,20,P,P Sold,INTC
INTC  271217P00022000,INTC 17DEC27 22 P,-2,-881.16682,-396.0,485.16682,USD,17DEC27,22,P,P Sold,INTC
INTC  271217P00027000,INTC 17DEC27 27 P,-2,-1364.59312,-693.68,670.91312,USD,17DEC27,27,P,P Sold,INTC
INTC  271217P00030000,INTC 17DEC27 30 P,-1,-898.94656,-445.21,453.73656,USD,17DEC27,30,P,P Sold,INTC
INTC  271217P00035000,INTC 17DEC27 35 P,-1,-1249.36656,-657.18,592.18656,USD,17DEC27,35,P,P Sold,INTC
INTC  271217P00045000,INTC 17DEC27 45 P,-1,-1144.19796,-1202.05,-57.85204,USD,17DEC27,45,P,P Sold,INTC
INTC  280121P00040000,INTC 21JAN28 40 P,-1,-1245.95131,-935.74,310.21131,USD,21JAN28,40,P,P Sold,INTC
INTC  280121P00042000,INTC 21JAN28 42 P,-1,-1325.94656,-1040.29,285.65656,USD,21JAN28,42,P,P Sold,INTC
INTC  280121P00045000,INTC 21JAN28 45 P,-1,-1394.98311,-1197.64,197.34311,USD,21JAN28,45,P,P Sold,INTC
OUST  270115P00007000,OUST 15JAN27 7 P,-2,-415.87852,-106.5,309.37852,USD,15JAN27,7,P,P Sold,OUST
RDW   260515P00009000,RDW 15MAY26 9 P,-1,-154.94796,-237.35,-82.40204,USD,15MAY26,9,P,P Sold,RDW
RDW   260515P00010000,RDW 15MAY26 10 P,-1,-144.74796,-311.99,-167.24204,USD,15MAY26,10,P,P Sold,RDW
RDW   270115P00012000,RDW 15JAN27 12 P,-5,-2974.53955,-3020.95,-46.41045,USD,15JAN27,12,P,P Sold,RDW
RDW   280121P00010000,RDW 21JAN28 10 P,-2,-1112.03107,-1155.74,-43.70893,USD,21JAN28,10,P,P Sold,RDW
RKLB  260417C00100000,RKLB 17APR26 100 C,-6,-2592.73966,-1692.0,900.73966,USD,17APR26,100,C,C Sold,RKLB
RKLB  260417C00105000,RKLB 17APR26 105 C,-24,-8192.99464,-5604.0,2588.99464,USD,17APR26,105,C,C Sold,RKLB
RKLB  260717P00039000,RKLB 17JUL26 39 P,-1,-537.23311,-302.35,234.88311,USD,17JUL26,39,P,P Sold,RKLB
RKLB  261218P00040000,RKLB 18DEC26 40 P,-1,-1019.95131,-637.03,382.92131,USD,18DEC26,40,P,P Sold,RKLB
RKLB  270115P00025000,RKLB 15JAN27 25 P,-2,-1529.15852,-445.0,1084.15852,USD,15JAN27,25,P,P Sold,RKLB
RKLB  280121P00040000,RKLB 21JAN28 40 P,-2,-2494.14202,-2296.86,197.28202,USD,21JAN28,40,P,P Sold,RKLB
RKLB  280121P00050000,RKLB 21JAN28 50 P,-1,-2325.95131,-1715.35,610.60131,USD,21JAN28,50,P,P Sold,RKLB
RKLB  280121P00055000,RKLB 21JAN28 55 P,-4,-9554.50524,-8007.48,1547.02524,USD,21JAN28,55,P,P Sold,RKLB
WOLF  260320P00015000,WOLF 20MAR26 15 P,-1,-159.29796,-114.0,45.29796,USD,20MAR26,15,P,P Sold,WOLF
WOLF  260320C00020000,WOLF 20MAR26 20 C,-1,-93.94796,-157.5,-63.55204,USD,20MAR26,20,C,C Sold,WOLF
ZENA  260220P00005000,ZENA 20FEB26 5 P,-6,-1035.85326,-1338.06,-302.20674,USD,20FEB26,5,P,P Sold,ZENA
ZENA  280121P00005000,ZENA 21JAN28 5 P,-5,-1566.50655,-1695.45,-128.94345,USD,21JAN28,5,P,P Sold,ZENA
